"","log2FoldChange","padj"
"KIAA1731",0.0978001022221,0.58
"NNAT",-0.70913216290305,0.12
"MTHFS",0.15266436361481,0.75
"AP000487.6",-0.00182078450066,1
"NEUROG2",0.20109130041756,0.63
"HN1",0.14529347219012,0.48
"CCDC169",0.12722346776624,0.78
"KCNT1",-0.13789367775938,0.76
"TMEM41B",0.02511097524237,0.94
"MMS22L",-0.36550134505048,0.08
"KIAA1109",0.02793767684055,0.93
"PPP2R1A",-0.16141423290217,0.62
"AC105020.1",0.62836356856904,0
"CTD-2314G24.2",-0.24661701436319,0.71
"TAS2R5",0.58351417895468,0.01
"ATG9A",-0.24141413511922,0.47
"MAP2K7",-0.32097482242406,0.17
"RP11-49K24.8",-0.17905634614071,0.81
"CCDC13-AS1",0.26467536884609,0.62
"AC074212.6",0.42732365925696,0.25
"MARK3",0.08176156458017,0.44
"TSN",-0.04230000576594,0.8
"LL0XNC01-250H12.3",-0.06435094827645,0.94
"CLK3",0.04193452209108,0.89
"RP11-325E14.2",-0.15666225474041,0.82
"GORAB",0.16257905750873,0.39
"INTS3",0.08853747858117,0.44
"STXBP2",-0.09603957246848,0.89
"C12orf75",-0.06884675834253,0.87
"SLC23A3",0.13737190784724,0.81
"PREPL",-0.0920533137236,0.75
"KIF12",-0.61174526910844,0.16
"ZMYM4",-0.10351239723305,0.7
"OGFOD1",0.03680745675252,0.84
"SYPL2",0.0124672671854,0.98
"ELMO3",-0.04775457518728,0.95
"RP11-66N5.2",-0.16295948471324,0.78
"RP11-1148O4.1",0.26578659179362,0.28
"TRAK2",0.08232785517819,0.79
"FTH1",-0.13934706203709,0.83
"ZDHHC6",0.20569792218455,0.17
"DHRS4L2",0.27669254087765,0.45
"TMEM177",-0.3067603430106,0.3
"RP5-1129J21.3",0.38893973932031,0.14
"ZNF570",-0.16882135246953,0.61
"NFKB1",-0.32993835392769,0.02
"AP001625.6",0.60533501000155,0.19
"USP35",0.11164904663466,0.72
"UBALD2",-0.11252117348841,0.74
"FAM214B",0.15388724616981,0.38
"TMEM216",0.01024185988089,0.97
"DUSP16",-0.08903644752229,0.75
"ERC2",0.1825483249208,0.49
"C22orf43",0.15389565240695,0.77
"PARP12",0.33960384982831,0.49
"BOLA3",0.13157880574353,0.74
"RP11-173G21.1",-0.10468925503239,0.88
"DKFZP761J1410",-0.07509267583219,0.83
"RP11-55K13.1",0.27782485964774,0.62
"UQCR11",0.13212772863774,0.74
"SC5D",-0.14103278206749,0.5
"LPCAT4",0.22507720726163,0.39
"RHOG",-0.28280510100399,0.45
"NDUFS1",-0.10279363559736,0.56
"FAF1",-0.08293753027397,0.61
"ASAH2",0.26144943127191,0.68
"CAMTA1",0.45157166543632,0
"RPL13P5",0.26045313098442,0.55
"ACO2",-0.38360051762779,0.14
"METTL9",0.11005971524747,0.49
"DNPEP",-0.14815875466426,0.59
"PRIM1",-0.50093001406185,0
"RELA",-0.02169542534112,0.95
"SHKBP1",-0.34944580464944,0.34
"OSTCP4",-0.04102990026863,0.94
"RP11-793H13.11",0.27523079158554,0.47
"SNORD94",0.1669200255211,0.81
"PDE2A",-0.029465993581,0.93
"RP11-75A9.3",-0.03591238683432,0.96
"DNAH12",0.56097608937652,0.12
"AP000351.10",0.51397741314288,0.32
"GAS2L1",-0.52059177208734,0.18
"SOD1",0.06605796766869,0.88
"ZNF703",-0.19121669917107,0.62
"RXFP2",-0.16802383050016,0.82
"LHPP",-0.00436322205935,0.99
"CCBL2",0.16085546519414,0.51
"BCO2",0.63563949373891,0.01
"EDARADD",-0.52387785496427,0.21
"ASB18",0.32686437526213,0.48
"PTPLAD2",0.43240201983732,0.46
"MORN3",0.2121183709683,0.66
"PCNPP1",-0.00411933190681,0.99
"VTI1B",0.09875073666828,0.55
"RP11-69L16.5",0.04035305557828,0.86
"PYGM",0.08302605028483,0.79
"RAB40B",0.3041043071443,0.08
"AC008850.3",0.17470428593691,0.71
"CSTF1",-0.1013865144032,0.35
"CRNDE",0.32155060249153,0.02
"MIR4426",0.0903971560096,0.82
"MRPL14",-0.09974799656777,0.75
"DLAT",0.00203153279897,0.99
"TOPBP1",-0.02395671812044,0.93
"ACRBP",0.34989341381426,0.22
"SPICE1",-0.2533689440014,0.25
"ELK4",-0.09846627200525,0.83
"RP11-797A18.4",0.20428422429552,0.68
"RNF152",-0.03746254193354,0.96
"SLC6A16",0.37652700275454,0
"COX19",-0.18522099150453,0.37
"MAU2",-0.15729696808666,0.67
"MMS19",0.19586608930283,0.08
"ARNT",-0.08869724867661,0.73
"BMPR1APS1",-0.50093596597282,0.12
"AC132872.1",-0.12376120403696,0.79
"RP11-267M23.4",0.6747784674318,0.03
"TLCD1",-0.02028555103798,0.96
"STOX1",0.14581623229976,0.79
"DRC1",0.62284884980179,0.24
"ACY1",0.07534055449674,0.86
"PPP1CB",-0.02664516072855,0.9
"RP5-1021I20.5",-0.02213937799437,0.97
"DNAJC30",0.07988068729965,0.83
"TUSC1",0.1630354494406,0.66
"LEF1-AS1",-0.08834780392692,0.9
"PPM1B",0.02306447371577,0.88
"DERL3",-0.8153631654174,0.01
"PRKAR1A",0.06218803555101,0.78
"EPDR1",-0.04408872947995,0.86
"POFUT1",-0.38246495697579,0.05
"AC079586.1",-0.49408016760443,0.06
"PHGDH",-0.11672394341774,0.68
"MUL1",-0.23315155309191,0.32
"RP11-60A24.3",0.10363543428167,0.8
"UBE2B",0.28360064336188,0.18
"LILRB5",-0.36074833266979,0.06
"PKD2L2",0.14710570908291,0.81
"AP003774.4",0.39691310561366,0.21
"ATG3",0.15159498077548,0.57
"RP11-272L13.3",0.10437428212781,0.88
"DOCK3",0.56514981800125,0
"EGLN2",0.09434675842089,0.7
"TTC9C",0.02411133648395,0.91
"RNF113A",0.16894939581343,0.4
"EXOC3",-0.11218194015973,0.64
"SCN11A",0.50767634501149,0.03
"RP11-923I11.1",0.38586607226202,0
"CCDC92",0.15760238097082,0.65
"RP11-106M3.3",0.21724641491106,0.33
"ABR",-0.05917686793733,0.89
"MNAT1",0.13018625721663,0.65
"REXO4",-0.06845739200155,0.85
"RP11-452H21.4",0.40886463431715,0.39
"C16orf92",0.39174654146683,0.33
"MYCNOS",-0.1271024444773,0.83
"NAA25",0.08056893420962,0.69
"RP11-108O10.2",0.04069637729049,0.96
"C10orf88",0.18564389948579,0.37
"CAPN3",0.06876141296856,0.93
"PSMD10P3",0.08921584041586,0.9
"BDH2",-0.05867284637966,0.75
"CACUL1",-0.07941634908576,0.8
"KLHL20",-0.11429087640836,0.56
"BRD7P5",-0.32437821433312,0.45
"U2SURP",-0.0925241971469,0.68
"ATP6V1B1",-0.12403585631623,0.7
"ANXA2P2",0.66675311319881,0.01
"LSMEM2",0.4228756932543,0.49
"CRTAP",-0.27241378545108,0
"RP11-576D8.4",-0.37592326184483,0.53
"RP11-119N19.1",-0.27328666994474,0.56
"ZNF69",0.18168446327089,0.48
"PPP1R9A",0.1889884552906,0.5
"C21orf33",-0.14392162376155,0.54
"TTC7A",-0.01345284523138,0.97
"CDK2AP2",-0.12859951726732,0.84
"CDKN2B",0.35065399543692,0.47
"AC073046.25",-0.70714628977116,0.16
"RP11-597G23.1",0.08280336638876,0.92
"ATP9B",-0.2895683298087,0.25
"CTC-575D19.1",-0.15996702195221,0.59
"FAM189A1",-0.70988841756276,0
"ENY2",0.06428033212412,0.77
"C16orf87",-0.01112581386347,0.97
"MCCC2",-0.19141435330237,0.25
"RAPGEF3",-0.24945837552582,0.71
"GNAQ",0.01895484277762,0.97
"RPS6KA1",-0.18327938492404,0.57
"UBE2G2",-0.13107529165743,0.04
"TPI1P1",-0.00758756911662,0.97
"PTPRS",0.08165841656947,0.83
"HSD17B10",-0.0868288031266,0.77
"FAM122A",-0.02354194101099,0.93
"ZNF32-AS2",0.15747124406131,0.67
"EIF4BP9",-0.34526173639633,0.48
"IRF3",-0.20621374678973,0.65
"FAM49A",0.51290213117411,0.01
"IRAK1",-0.30240029194343,0.38
"BLZF1",0.11003742227227,0.55
"CTC-365E16.1",-0.29106923104065,0.39
"TRIM55",0.04725536116599,0.96
"DPY30",0.14010188414933,0.62
"LPPR3",-0.18781431399903,0.73
"YOD1",-0.23505825380922,0.43
"EEF1A1P5",-0.01895827854828,0.96
"EFTUD2",-0.15417735474311,0.27
"NFAT5",-0.12071334917992,0.81
"ZNF503",-0.04312530240853,0.95
"PRTFDC1",0.03407176062899,0.89
"RP11-347C18.3",-0.33578913530561,0.4
"RHCE",-0.17593721732469,0.75
"LINC00617",0.12948093230263,0.31
"C1orf53",0.43088244376386,0.19
"GOSR1",-0.02363843799744,0.93
"CNTF",0.21611308374807,0.66
"CASP3",0.51655936939422,0
"ITPKC",-0.17983737644093,0.6
"SNORA66",0.29451030079182,0.66
"RNF166",-0.21358568337053,0.67
"RP11-533F5.2",-0.03755501148177,0.95
"DPF2",-0.1763076580321,0.09
"KDM6A",0.05453989195888,0.75
"LDHBP1",-0.01229910164551,0.98
"ARL6IP1P2",-0.12189679117389,0.75
"EIF4G3",0.03690868549424,0.83
"RP11-390F4.8",-0.08642797796973,0.89
"HNRNPDL",0.15472322093086,0.25
"TM9SF1",-0.33926344627255,0.24
"MAML1",-0.30603900543329,0.08
"NPAT",-0.03566862055441,0.91
"OSBPL9P2",0.18235555798217,0.64
"CTD-2517M22.14",0.12369922397741,0.87
"DEDD",0.03695613032654,0.85
"CTNND1",-0.01085035956611,0.98
"RNF121",-0.20449800656905,0.17
"WDR18",-0.32424549742646,0.45
"PRKAR2A-AS1",0.07287453269647,0.91
"LIN54",-0.14918579545344,0.57
"RP4-647C14.3",0.43996226139102,0.35
"NBPF1",0.26174033106334,0.03
"RP11-326K13.4",-0.16215433847749,0.82
"ARHGEF12",-0.07756815124245,0.84
"ULBP3",-0.61670363140399,0.02
"BAI2",0.09884093752212,0.88
"ENDOV",0.25817537041814,0.17
"CHRNB1",0.15406759757923,0.41
"RP13-7D7.1",-0.49851180698291,0.38
"RP11-235E17.6",-0.6907148772095,0.03
"STX4",0.05027256572753,0.88
"GPR173",0.25387756534046,0.02
"PCDH17",-0.09409887182175,0.82
"C19orf57",-0.33300403838107,0.38
"LIPA",-0.195926061742,0.26
"RP11-661O13.1",0.60666078779083,0.09
"RAB12",0.47316135266584,0
"POMP",0.21698291970042,0.35
"TRPT1",0.03967671834555,0.94
"PPL",-0.13888386489537,0.73
"TBC1D31",-0.07827334264412,0.68
"SHROOM2",0.06968103830031,0.63
"AC005594.3",-0.80564814569238,0.03
"UHRF2",0.09033953724077,0.67
"KLHL14",-0.34176220312215,0.57
"HNRNPCP4",-0.37620841735486,0.39
"STAMBP",0.013372077541,0.95
"PCDH1",-1.32806260306648,0
"RPS12",0.1276415835655,0.73
"MAPKAPK5",0.05145014486089,0.75
"RP11-516A11.1",-0.06614012911743,0.82
"CD302",0.21191870770998,0.4
"CTSV",-0.87052613895808,0.05
"ARHGEF26",0.32738018750577,0.02
"CGREF1",0.30014946959781,0.33
"CDH22",0.14034525347006,0.81
"FAHD1",-0.0023305559321,0.99
"MIR3917",-0.0562678995944,0.95
"LRRC29",-0.25362667082534,0.65
"USP46",-0.09946248277917,0.71
"FAM136BP",-0.1846963646823,0.8
"PFKP",0.40573308184587,0.14
"IRX2",0.35667546683065,0
"TSPAN6",-0.30541244119778,0.01
"AC104532.4",-0.1838479852306,0.79
"AKR1B1P2",-0.01174899620785,0.99
"ZNF101",0.11272843589367,0.58
"CTA-299D3.8",-0.06631372685481,0.94
"FRRS1L",-0.63359015802911,0.06
"HSCB",0.08151793203605,0.82
"RP3-395M20.3",-0.91839544684358,0.02
"DPH3",0.0520724356287,0.8
"NPHS1",-0.48643093077713,0.13
"ZNF142",-0.2096037704903,0.41
"AC010492.2",0.06867998980057,0.91
"RP11-203J24.9",0.5124804445353,0.31
"B4GALT7",-0.18261037911621,0.71
"VARS2",0.07880451126008,0.8
"EFS",-0.92390554418877,0
"GOLGA8B",0.78827767700132,0
"TPMTP1",0.39340626157636,0.4
"TGFBI",0.50546767266204,0.04
"RP11-1074O12.1",-0.7109669255021,0.07
"ATXN7L3B",-0.02129512779059,0.93
"NOP56",-0.09367193834882,0.42
"RP11-526J3.3",-0.03029559568858,0.94
"CPSF2",-0.29492524264233,0.05
"CELSR1",0.02231951834572,0.96
"DRD2",-0.13377004126565,0.73
"RNF6",0.04174621703683,0.86
"EOMES",-0.67978722338774,0
"ERCC3",0.08828196377677,0.44
"C10orf118",0.02322747452298,0.96
"RP11-13K12.5",0.43733686176396,0.34
"SDCBPP2",0.20738072960462,0.52
"C7orf55-LUC7L2",0.2920848078272,0
"MRPS17",0.12793862295289,0.57
"ZNF234",0.04270646901113,0.92
"ABHD14A",-0.00417940527479,0.99
"CPB2-AS1",0.50728698096522,0.16
"CCDC162P",0.47210096861581,0.32
"WHSC1",-0.11781891478762,0.52
"ZBTB44",-0.17512272115516,0.59
"GBX2",-0.0936558225831,0.89
"PNPLA3",-0.42870552785658,0.16
"RNF44",-0.06828790828737,0.85
"MAP4K5",0.0861773126765,0.62
"PCDHB7",0.07486060294451,0.86
"MRPL22",0.1233928364254,0.65
"SEC24C",-0.01562653158455,0.92
"CCDC142",-0.34864131410997,0.13
"ARMC9",-0.18590597653843,0.24
"RP11-849H4.4",-0.03274129489742,0.96
"MRPS12",-0.27338763036079,0.5
"ZFAS1",0.29122305955756,0.16
"TERT",-0.59634980797024,0.12
"SLMAP",-0.06198914983564,0.81
"TMEM66",0.23791724087292,0.09
"DYNLL1P1",-0.16927495211209,0.7
"CDK9",-0.09893319679349,0.75
"MAP4K4",-0.09722050323623,0.77
"APOPT1",0.25285725155961,0.31
"NLRC5",-0.19786510658606,0.51
"SH3BP5",-0.08501422962613,0.87
"ATF4",0.22149825025222,0.07
"NRIP1",-0.18507711015873,0.62
"ANKRD50",-0.13011440377191,0.71
"PLA2G12A",0.01960296943766,0.95
"CNTD2",0.21412202820698,0.71
"TCN2",-0.05103150312495,0.93
"GNAI2",-0.18252711471798,0.4
"MSN",-0.1566733731385,0.35
"PPP1R3E",0.22439386756837,0.31
"C1orf112",-0.09961796119707,0.7
"SH3BP1",-0.31738898490657,0.43
"MSANTD3",0.17398999186633,0.09
"SUPT20H",0.08537885787323,0.66
"GABPB1-AS1",0.10197229937963,0.66
"SMARCA2",-0.0169900372841,0.96
"SEPT3",0.28985533120055,0.04
"DPP9",-0.26519363550401,0.41
"ZNF32",0.25008139091971,0.08
"B3GNTL1",0.16529824918128,0.67
"NAT1",0.05093559348387,0.9
"TOX3",-0.07818899223205,0.48
"RP11-56B16.1",-0.09700880484289,0.84
"TNNT2",0.56529305249984,0.26
"SPATA31E1",-0.41779086207826,0.23
"RP11-381E24.1",-0.73738847316786,0.08
"MRPL17",-0.16211520916504,0.35
"NUBP2",-0.37661655580479,0.5
"ABCF3",-0.03261686119602,0.93
"BFAR",-0.08451548570192,0.4
"INO80D",0.06011793104361,0.88
"APOE",-0.1151195768585,0.88
"SNUPN",0.03606158702654,0.89
"CSGALNACT1",0.02797248970272,0.89
"POP5",0.13488672377623,0.57
"NKAPP1",0.22895265667688,0.61
"RP11-232D9.1",0.30703145748026,0.62
"SLC4A7",-0.13506716071152,0.68
"PPIH",-0.06431195956594,0.8
"POLR2A",-0.3163793881517,0.17
"LGMN",-0.18911482333906,0.08
"RP11-592N21.1",0.08706774861389,0.86
"RP11-723P16.3",-0.25130403700016,0.65
"RP11-393M11.2",-0.3709477677637,0.54
"SUMO1",0.14334188201114,0.57
"PSAT1P4",0.11038980601252,0.89
"AC068134.10",0.04547098901429,0.94
"BIRC6",-0.02200744087043,0.95
"NISCH",-0.14988311667789,0.62
"COX6A1P2",0.02819374027612,0.96
"BRWD1",0.1872674100999,0.35
"NOXRED1",0.34010816764446,0.43
"RP11-357C3.3",-0.09152769480829,0.81
"THSD4",0.01400889330719,0.97
"HNRNPLP1",-0.10271243851721,0.71
"SPDL1",-0.12332659804434,0.57
"ASB13",-0.03595625084931,0.89
"RNF144A",0.01760688852907,0.96
"CHCHD1",0.07298662278114,0.86
"ZNF433",0.40450037784827,0.06
"LPHN1",-0.48808120057709,0.17
"SNHG17",-0.04280170789336,0.91
"DOCK5",0.43633729468515,0
"SLC16A5",-0.7101685440045,0.15
"ATP5G1",0.05835759547778,0.82
"SLC45A3",-0.01218613207901,0.99
"CTD-2583A14.11",0.2269830603618,0.48
"FAT4",-0.35655024230744,0.29
"CPEB1",0.4110461033372,0.49
"EFTUD1",-0.06187106711215,0.81
"PSPC1",-0.00536009186094,0.97
"CLIC1",0.30439825535257,0
"AP000654.5",-0.18639223948028,0.66
"KCTD16",0.12868805595278,0.84
"KTN1",-0.14431647040634,0.35
"TLN1",-0.29217929184642,0.31
"SNORD6",0.12269958530623,0.88
"RGS10",0.28579324613062,0.19
"RP11-29G8.3",0.19773711786866,0.79
"NEIL3",-1.51822018101246,0
"NOB1",-0.28300048619367,0.16
"C9orf78",0.04661396007006,0.78
"ZNF540",0.49881754959758,0
"CARKD",-0.08376084879303,0.79
"SEMA3C",0.28241391079423,0.56
"MT-TC",0.95256784165014,0
"CAPN1",-0.15196394054224,0.73
"RP11-486G15.1",-0.1694756098844,0.71
"CASP9",0.24425518478004,0.01
"NBPF14",0.20310017417716,0.61
"VGF",-0.57278513703192,0.22
"MTMR14",0.04567844016804,0.77
"RTN3P1",0.05575212259821,0.86
"AKT2",-0.25331429311579,0.42
"C8orf4",-0.03404319948046,0.97
"AKIP1",0.19943097018582,0.49
"RP13-93L13.2",-0.28278082575665,0.4
"RPL19P12",-0.33771223928999,0.35
"AC011290.5",0.01416398524552,0.98
"RP11-485M7.1",0.18256744155749,0.5
"PTP4A3",-0.59122078569231,0.07
"DGKQ",-0.1058400003196,0.86
"RHOQ",0.10589941096882,0.4
"ZNF215",0.22718828751179,0.46
"HSPA8P7",-0.23844384556796,0.39
"NDUFA9P1",0.01298785755255,0.98
"WDR96",-0.04170809555406,0.96
"CMC2",0.13562531322526,0.63
"SHB",0.4413630662987,0.03
"OCLM",-0.09837932673049,0.91
"ANKFY1",-0.02948831209242,0.94
"CTC-479C5.10",0.14446370517855,0.78
"STIP1",-0.14184827040601,0.28
"CLN8",-0.47106197084619,0.04
"CACTIN",-0.45300051058605,0.29
"RNF219",-0.13238158834687,0.51
"RP11-497H16.2",0.2106790062404,0.71
"C1orf74",0.12372972945478,0.75
"TAX1BP3",0.09961604821646,0.75
"MAK16",-0.09860791815375,0.73
"DCAF5",0.02094591192958,0.94
"CTD-2037K23.2",0.18865602895837,0.52
"PHF5CP",-0.33075721053321,0.56
"DVL1",-0.28070157708551,0.62
"RP11-365F18.1",0.01410055439462,0.97
"AC115617.2",-0.17100331314288,0.4
"HES6",-0.74526831907141,0.03
"ACTR1B",-0.05162129676875,0.91
"TXN",0.27625542758446,0.18
"RP11-32B5.7",0.01371261299064,0.98
"KRT8P23",0.55076594236459,0.29
"ENSAP2",-0.10579089262923,0.68
"MASP2",0.10774056558352,0.83
"TIGD3",-0.17112160812311,0.59
"KLHDC10",-0.03199166734291,0.94
"RP11-247L20.4",-0.31378090509994,0.51
"FAM76A",0.12713338178573,0.52
"DEPDC7",0.19567073231262,0.2
"STK39",-0.08289955979862,0.55
"USP14",0.12222881493805,0.49
"DAGLA",-0.50996236615722,0.24
"PARP10",-0.18115862238691,0.79
"SNORA26",0.26092410536569,0.59
"DLD",-0.00411104515069,0.98
"ORAI2",-0.17375169510816,0.52
"ANAPC10",0.14646819161349,0.64
"RP11-658F2.8",0.26351079067302,0.14
"ICOSLG",-0.9986348049367,0
"CCDC163P",0.24152771686952,0.57
"RBBP4P4",-0.26533488696409,0.31
"IL4R",-0.93618850625711,0
"MED12",-0.18186074425907,0.25
"NABP2",0.0340079496206,0.89
"TYRO3",-0.15507009453448,0.66
"LEO1",-0.00836148321668,0.97
"FAM173A",-0.48870666433197,0.39
"BOK",-0.21635688589151,0.66
